,index,NOM,INGRESSOS_TOTAL,INGRESSOS_CRITIC,Tasa (ingresos/población),Tasa (ingresos críticos/población),Población
0,0,ALT CAMP,579,74,0.012814554146471018,0.0016377841223469004,45183
1,1,ALT EMPORDA,2280,601,0.016120821313422705,0.0042493919339329144,141432
2,2,ALT PENEDES,2570,151,0.023107147031585763,0.0013576572769530934,111221
3,3,ALT URGELL,405,26,0.02001284775411375,0.0012847754113752038,20237
4,4,ALTA RIBAGORCA,32,7,0.008014024542950162,0.001753067868770348,3993
5,5,ANOIA,2134,269,0.017005474583429624,0.002143614181322666,125489
6,6,BAGES,6456,354,0.03588740160981901,0.0019678036198692577,179896
7,7,BAIX CAMP,2496,298,0.012610773723512828,0.0015056132089770924,197926
8,8,BAIX EBRE,849,181,0.010693503287402071,0.0022797692520845404,79394
9,9,BAIX EMPORDA,1744,174,0.012756090960290815,0.001272683387093235,136719
10,10,BAIX LLOBREGAT,9308,1045,0.011229489111328537,0.0012607236915919983,828889
11,11,BAIX PENEDES,1740,192,0.015519778798555055,0.0017125273157026267,112115
12,12,BARCELONES,30791,5157,0.013575943451131719,0.002273753381750715,2268056
13,13,BERGUEDA,705,62,0.017505524793285824,0.0015394929605442853,40273
14,14,CERDANYA,336,38,0.017377812257564004,0.0019653478148435478,19335
15,15,CONCA DE BARBERA,287,37,0.014339245565825632,0.0018486135398451161,20015
16,16,GARRAF,2019,152,0.013081508358170273,0.0009848386678761177,154340
17,17,GARRIGUES,297,53,0.0156217126025668,0.0027877130233536713,19012
18,18,GARROTXA,294,122,0.005007153075822604,0.002077798215137271,58716
19,19,GIRONES,2460,534,0.012766818726743371,0.002771333821171122,192687
20,20,MARESME,5768,776,0.012605363398552831,0.001695867197863557,457583
21,21,MOIANES,388,23,0.027218519817607856,0.0016134689582602596,14255
22,22,MONTSIA,805,147,0.011515134176346056,0.002102763632202323,69908
23,23,NOGUERA,598,114,0.015411576722849337,0.0029379928869645894,38802
24,24,OSONA,2305,319,0.014083474371742623,0.0019490795334429053,163667
25,25,PALLARS JUSSA,273,26,0.02078100022836264,0.00197914287889168,13137
26,26,PALLARS SOBIRA,145,18,0.020166898470097356,0.0025034770514603616,7190
27,27,PLA D'URGELL,642,107,0.017006172021933195,0.0028343620036555325,37751
28,28,PLA DE L'ESTANY,443,80,0.013529196188614707,0.002443195699975568,32744
29,29,PRIORAT,134,10,0.014510016242555495,0.0010828370330265296,9235
30,30,RIBERA D'EBRE,207,43,0.00956782990524613,0.0019875202218627226,21635
31,31,RIPOLLES,213,65,0.008370996266457065,0.0025545293770878365,25445
32,32,SEGARRA,409,63,0.01762247404024301,0.0027144642164677497,23209
33,33,SEGRIA,3157,506,0.015094502005747098,0.002419327847611033,209149
34,34,SELVA,2097,352,0.012055396183895095,0.0020236048911450037,173947
35,36,SOLSONES,366,21,0.02625161382871898,0.001506240137713384,13942
36,37,TARRAGONES,3047,454,0.011537558596560315,0.0017190848712958266,264094
37,38,TERRA ALTA,122,26,0.010802195856206835,0.0023021073136178503,11294
38,39,URGELL,607,120,0.01624471444628807,0.0032114756730717764,37366
39,40,VALL D'ARAN,91,10,0.008926819697861486,0.0009809691975671965,10194
40,41,VALLES OCCIDENTAL,14160,1891,0.015048317213425734,0.0020096304979228857,940969
41,42,VALLES ORIENTAL,9080,994,0.02176075156075875,0.0023821791906821804,417265
