,index,NOM,PCR,Tasa (PCR/población),Población
0,0,ALT CAMP,112679,2.4938361773233297,45183
1,1,ALT EMPORDA,321468,2.272950958764636,141432
2,2,ALT PENEDES,281664,2.5324713857994445,111221
3,3,ALT URGELL,64802,3.2021544695359982,20237
4,4,ALTA RIBAGORCA,10529,2.6368645128975707,3993
5,5,ANOIA,312644,2.491405621209827,125489
6,6,BAGES,552382,3.0705629919509048,179896
7,7,BAIX CAMP,509585,2.5746238493174216,197926
8,8,BAIX EBRE,210952,2.6570269793687182,79394
9,9,BAIX EMPORDA,330844,2.419883117928013,136719
10,10,BAIX LLOBREGAT,2265182,2.732792931261001,828889
11,11,BAIX PENEDES,230095,2.0523123578468536,112115
12,12,BARCELONES,5942136,2.619924728489949,2268056
13,13,BERGUEDA,122695,3.0465820773222756,40273
14,14,CERDANYA,51273,2.651823118696664,19335
15,15,CONCA DE BARBERA,61709,3.0831376467649263,20015
16,16,GARRAF,353130,2.288000518336141,154340
17,17,GARRIGUES,50105,2.6354407742478436,19012
18,18,GARROTXA,176442,3.0050071530758227,58716
19,19,GIRONES,568617,2.9509878715222095,192687
20,20,MARESME,1404618,3.0696463810937034,457583
21,21,MOIANES,46895,3.2897229042441247,14255
22,22,MONTSIA,164639,2.355080963552097,69908
23,23,NOGUERA,109957,2.8337972269470644,38802
24,24,OSONA,451524,2.758796825261048,163667
25,25,PALLARS JUSSA,48132,3.6638501941082438,13137
26,26,PALLARS SOBIRA,19126,2.6600834492350485,7190
27,27,PLA D'URGELL,103945,2.753436995046489,37751
28,28,PLA DE L'ESTANY,98874,3.019606645492304,32744
29,29,PRIORAT,22024,2.3848402815376284,9235
30,30,RIBERA D'EBRE,48859,2.2583314074416454,21635
31,31,RIPOLLES,80971,3.1821968952642954,25445
32,32,SEGARRA,64331,2.77181265888233,23209
33,33,SEGRIA,624133,2.9841548369822473,209149
34,34,SELVA,401868,2.3102899158939216,173947
35,36,SOLSONES,36470,2.6158370391622436,13942
36,37,TARRAGONES,591657,2.2403273077010457,264094
37,38,TERRA ALTA,26638,2.3585974853904728,11294
38,39,URGELL,112375,3.007413156345341,37366
39,40,VALL D'ARAN,26834,2.632332744751815,10194
40,41,VALLES OCCIDENTAL,2863867,3.04352959555522,940969
41,42,VALLES ORIENTAL,1198046,2.871187374929601,417265
